iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge
133,4.323,17432576,115409,64,21.93,0.125,7.14,0.727,0.273,3.938,-0.0021,0.1173,0.0054,0.046,,,,,,,,,,
134,4.343,17563648,109560,73,18.93,0.082,7.36,0.955,0.045,3.951,-0.0016,0.1479,0.0049,0.04,,,,,,,,,,
135,4.553,17694720,115634,65,18.96,0.092,7.08,0.917,0.083,3.954,-0.0015,0.1237,0.0043,0.047,0.875,0.095,0.634,0.88,0.005,0.716,0.615,0.02,0.98,0.55
136,4.571,17825792,117706,52,18.28,0.077,7.1,0.846,0.154,3.935,-0.0019,0.1201,0.0046,0.046,,,,,,,,,,
137,4.59,17956864,114726,70,16.56,0.043,7.14,1.0,0.0,3.902,-0.0023,0.1363,0.0052,0.053,,,,,,,,,,
138,4.609,18087936,116313,82,16.78,0.098,6.65,1.0,0.0,3.877,-0.0019,0.1401,0.0041,0.039,,,,,,,,,,
139,4.629,18219008,111591,64,14.82,0.062,6.95,0.929,0.071,3.859,-0.0022,0.1468,0.0052,0.051,,,,,,,,,,
140,4.648,18350080,115349,103,14.06,0.019,7.05,0.966,0.034,3.847,-0.0019,0.1538,0.0048,0.042,,,,,,,,,,
141,4.667,18481152,116502,69,18.71,0.116,7.38,0.571,0.429,3.839,-0.002,0.1393,0.0049,0.044,,,,,,,,,,
142,4.685,18612224,119208,65,19.12,0.108,6.72,0.9,0.1,3.817,-0.0021,0.1377,0.0047,0.043,,,,,,,,,,
143,4.703,18743296,118427,82,14.71,0.037,7.17,0.875,0.083,3.781,-0.0015,0.1731,0.0044,0.04,,,,,,,,,,
144,4.722,18874368,117596,112,13.52,0.027,7.02,0.938,0.062,3.777,-0.0022,0.1929,0.0054,0.049,,,,,,,,,,
145,4.74,19005440,118052,93,15.7,0.043,7.23,1.0,0.0,3.772,-0.0019,0.1959,0.0044,0.043,,,,,,,,,,
146,4.759,19136512,119508,91,12.78,0.033,7.18,0.833,0.167,3.73,-0.0018,0.1673,0.0042,0.037,,,,,,,,,,
147,4.777,19267584,118721,96,13.17,0.031,7.21,1.0,0.0,3.686,-0.0021,0.2103,0.005,0.052,,,,,,,,,,
148,4.796,19398656,113358,105,12.86,0.057,7.31,0.85,0.05,3.664,-0.0017,0.1984,0.0042,0.035,,,,,,,,,,
149,4.816,19529728,114316,98,11.34,0.02,7.3,0.941,0.059,3.656,-0.0017,0.2079,0.0048,0.037,,,,,,,,,,
150,4.955,19660800,115017,110,11.69,0.018,7.44,1.0,0.0,3.653,-0.0022,0.2246,0.0044,0.04,0.825,0.17,0.592,1.0,0.0,0.683,0.623,0.02,0.98,0.521
151,4.974,19791872,115038,97,12.09,0.021,7.49,0.962,0.038,3.657,-0.0018,0.1937,0.004,0.029,,,,,,,,,,
152,4.992,19922944,116874,117,11.68,0.034,7.24,0.966,0.034,3.662,-0.0017,0.2257,0.0052,0.044,,,,,,,,,,
153,5.012,20054016,114057,108,11.24,0.028,7.45,0.92,0.08,3.671,-0.002,0.2101,0.0046,0.038,,,,,,,,,,
154,5.03,20185088,117780,93,11.49,0.011,7.6,0.95,0.05,3.672,-0.0017,0.2025,0.0042,0.034,,,,,,,,,,
155,5.049,20316160,113433,99,10.84,0.01,7.48,1.0,0.0,3.663,-0.0015,0.1951,0.0041,0.036,,,,,,,,,,
156,5.069,20447232,112810,99,11.07,0.01,7.4,0.917,0.083,3.623,-0.0014,0.1963,0.0046,0.039,,,,,,,,,,
157,5.088,20578304,112591,113,10.6,0.0,7.56,0.897,0.103,3.598,-0.0018,0.2134,0.0047,0.047,,,,,,,,,,
158,5.107,20709376,116615,102,11.5,0.0,7.62,0.955,0.045,3.597,-0.0019,0.2249,0.0042,0.036,,,,,,,,,,
159,5.126,20840448,116258,132,10.49,0.0,7.3,1.0,0.0,3.575,-0.0018,0.225,0.0044,0.037,,,,,,,,,,
160,5.144,20971520,118110,108,9.27,0.0,7.33,0.96,0.04,3.589,-0.0017,0.1933,0.0044,0.039,,,,,,,,,,
161,5.163,21102592,117710,130,9.97,0.015,7.39,1.0,0.0,3.586,-0.0015,0.2413,0.004,0.037,,,,,,,,,,
162,5.181,21233664,118232,101,10.08,0.0,7.44,1.0,0.0,3.616,-0.0018,0.1821,0.004,0.037,,,,,,,,,,
163,5.2,21364736,117670,103,9.63,0.0,7.41,1.0,0.0,3.58,-0.0015,0.187,0.0039,0.033,,,,,,,,,,
164,5.218,21495808,119079,113,9.59,0.0,7.3,0.931,0.069,3.599,-0.0017,0.2091,0.0045,0.038,,,,,,,,,,
165,5.431,21626880,113302,123,9.21,0.0,7.32,0.933,0.067,3.597,-0.0017,0.2246,0.0044,0.039,0.765,0.23,0.527,0.83,0.0,0.712,0.594,0.005,0.995,0.525
166,5.449,21757952,115288,110,9.38,0.0,7.48,1.0,0.0,3.582,-0.0019,0.2031,0.0042,0.037,,,,,,,,,,
167,5.468,21889024,116763,94,9.99,0.0,7.27,0.905,0.095,3.529,-0.0017,0.2143,0.0045,0.039,,,,,,,,,,
168,5.487,22020096,118078,138,9.69,0.007,7.38,0.958,0.042,3.518,-0.0016,0.2307,0.0042,0.039,,,,,,,,,,
169,5.505,22151168,117524,99,10.19,0.0,7.44,0.842,0.158,3.545,-0.0018,0.2239,0.0042,0.038,,,,,,,,,,
170,5.524,22282240,116769,102,9.67,0.0,7.38,0.889,0.111,3.546,-0.0016,0.246,0.0045,0.04,,,,,,,,,,
171,5.543,22413312,114997,130,9.72,0.0,7.51,0.976,0.024,3.53,-0.0021,0.2601,0.0052,0.049,,,,,,,,,,
172,5.562,22544384,113549,125,9.3,0.0,7.41,0.976,0.024,3.551,-0.002,0.2809,0.0044,0.044,,,,,,,,,,
173,5.582,22675456,113384,101,9.98,0.0,7.46,0.947,0.053,3.545,-0.0016,0.2256,0.0044,0.037,,,,,,,,,,
174,5.601,22806528,113216,115,9.54,0.009,7.52,1.0,0.0,3.544,-0.0019,0.237,0.0044,0.041,,,,,,,,,,
175,5.62,22937600,116300,98,9.29,0.01,7.43,1.0,0.0,3.547,-0.0018,0.2349,0.0046,0.042,,,,,,,,,,
176,5.639,23068672,115041,112,10.0,0.0,7.3,1.0,0.0,3.539,-0.0018,0.2445,0.0047,0.045,,,,,,,,,,
177,5.658,23199744,112855,106,10.41,0.0,7.43,0.952,0.048,3.571,-0.0023,0.2541,0.0053,0.052,,,,,,,,,,
178,5.677,23330816,118355,119,10.09,0.0,7.22,1.0,0.0,3.54,-0.0018,0.2626,0.005,0.042,,,,,,,,,,
179,5.696,23461888,114031,92,9.87,0.0,7.55,0.882,0.118,3.57,-0.002,0.2371,0.0046,0.044,,,,,,,,,,
180,5.862,23592960,118616,89,10.19,0.0,7.48,0.905,0.095,3.566,-0.0019,0.2333,0.0042,0.037,0.945,0.025,0.55,1.0,0.0,0.729,0.632,0.2,0.8,0.625
181,5.88,23724032,117583,85,10.26,0.0,7.32,0.96,0.04,3.562,-0.0019,0.2251,0.0045,0.038,,,,,,,,,,
182,5.9,23855104,114327,87,11.52,0.0,7.64,1.0,0.0,3.554,-0.0019,0.2186,0.0048,0.046,,,,,,,,,,
183,5.918,23986176,117398,101,10.75,0.0,7.41,0.95,0.05,3.568,-0.0018,0.2225,0.0045,0.036,,,,,,,,,,
184,5.938,24117248,112590,95,11.4,0.0,7.74,0.958,0.042,3.575,-0.0017,0.2352,0.0042,0.038,,,,,,,,,,
