iter,minutes,agent_steps,sps,episodes,ep_len_s,draw_rate,hits_per_ep,pool_win,pool_loss,entropy,pg_loss,v_loss,kl,clipfrac,rule_win,rule_loss,rule_dodge,random_win,random_loss,random_dodge,lateral,strafer_win,strafer_loss,strafer_dodge,v1_win,v1_loss,v1_dodge
77,5.11,10092544,61858,36,24.41,0.167,7.44,0.545,0.273,2.755,-0.003,0.0852,0.0064,0.071,,,,,,,,,,,,,
78,5.142,10223616,69424,36,27.1,0.028,7.78,0.6,0.4,2.763,-0.0023,0.0604,0.0061,0.07,,,,,,,,,,,,,
79,5.179,10354688,58478,24,31.26,0.208,7.38,0.556,0.222,2.759,-0.0032,0.0595,0.0068,0.078,,,,,,,,,,,,,
80,5.213,10485760,64024,28,32.52,0.25,6.79,0.667,0.333,2.762,-0.0026,0.0557,0.007,0.079,,,,,,,,,,,,,
81,5.245,10616832,69122,33,30.79,0.152,7.12,0.7,0.3,2.766,-0.0028,0.0589,0.0061,0.07,,,,,,,,,,,,,
82,5.278,10747904,67284,21,26.59,0.0,7.52,0.667,0.333,2.77,-0.0028,0.0536,0.0063,0.071,,,,,,,,,,,,,
83,5.316,10878976,57040,29,32.41,0.172,7.34,0.667,0.25,2.776,-0.0027,0.0558,0.007,0.083,,,,,,,,,,,,,
84,5.35,11010048,63949,40,32.12,0.05,7.6,0.375,0.5,2.792,-0.0022,0.0653,0.0066,0.074,,,,,,,,,,,,,
85,5.384,11141120,64800,30,30.96,0.1,7.83,0.692,0.231,2.778,-0.0027,0.0754,0.0075,0.086,,,,,,,,,,,,,
86,5.417,11272192,65639,32,28.25,0.062,7.66,0.6,0.4,2.778,-0.0032,0.0653,0.0058,0.068,,,,,,,,,,,,,
87,5.452,11403264,62516,31,33.1,0.129,7.42,0.667,0.333,2.768,-0.0032,0.0503,0.0067,0.074,,,,,,,,,,,,,
88,5.486,11534336,64702,29,32.71,0.207,6.79,0.6,0.2,2.767,-0.0026,0.0553,0.0063,0.073,,,,,,,,,,,,,
89,5.52,11665408,63129,28,31.47,0.143,7.93,0.778,0.222,2.784,-0.0027,0.0535,0.0066,0.078,,,,,,,,,,,,,
90,5.555,11796480,63233,36,39.47,0.278,6.78,0.583,0.083,2.776,-0.003,0.0545,0.0067,0.075,,,,,,,,,,,,,
91,5.589,11927552,64415,38,34.35,0.289,6.92,0.75,0.125,2.765,-0.003,0.0714,0.0062,0.069,,,,,,,,,,,,,
92,5.622,12058624,65847,39,29.53,0.128,7.1,0.778,0.222,2.741,-0.0027,0.0746,0.007,0.072,,,,,,,,,,,,,
93,5.655,12189696,67009,35,35.06,0.171,7.51,0.5,0.5,2.764,-0.0024,0.0689,0.0081,0.089,,,,,,,,,,,,,
94,5.688,12320768,64813,48,30.28,0.167,6.94,0.812,0.188,2.775,-0.0025,0.0668,0.007,0.086,,,,,,,,,,,,,
95,5.731,12451840,51465,32,31.91,0.094,7.97,1.0,0.0,2.772,-0.0029,0.0626,0.0073,0.078,,,,,,,,,,,,,
96,5.775,12582912,49060,30,30.13,0.167,7.43,0.778,0.222,2.798,-0.0027,0.0533,0.0062,0.068,,,,,,,,,,,,,
97,5.817,12713984,52789,32,34.13,0.188,7.22,0.667,0.333,2.787,-0.0029,0.0449,0.0068,0.074,,,,,,,,,,,,,
98,5.864,12845056,46115,30,36.89,0.3,6.33,0.75,0.125,2.774,-0.0026,0.0629,0.0059,0.072,,,,,,,,,,,,,
99,5.898,12976128,63658,46,33.89,0.196,7.39,0.846,0.154,2.778,-0.0028,0.0754,0.0056,0.069,,,,,,,,,,,,,
